fileName;pathToFile;logging;exceptionExhaustive;exceptionBaseHeuristic;exceptionIncrementalHeuristic;exceptionAdvancedHeuristic;totalAmountSolutionsExhaustive;totalAmountSolutionsBaseHeuristic;totalAmountSolutionsIncrementalHeuristic;totalAmountSolutionsAdvancedHeuristic;amountCheapestSolutionsExhaustive;amountCheapestSolutionsBaseHeuristic;amountSolutionsIncrementalHeuristic;amountCheapestSolutionsAdvancedHeuristic;costCheapestSolutionExhaustive;costCheapestSolutionBaseHeuristic;costCheapestSolutionIncrementalHeuristic;costCheapestSolutionAdvancedHeuristic;exhaustiveCombsGenInSec;exhaustiveCalcMeasureInSec;exhaustiveExecutionTimeInSec;baseHeuristicCombsGenInSec;baseHeuristicCalcMeasureInSec;baseHeuristicExecutionTimeInSec;incrementalHeuristicCombsGenInSec;incrementalHeuristicCalcMeasureInSec;incrementalHeuristicExecutionTimeInSec;advancedHeuristicCombsGenInSec;advancedHeuristicCalcMeasureInSec;advancedHeuristicExecutionTimeInSec;amountReaders;amountWriters;amountDataObjects;averageAmountDataObjectsPerDecision;amountReadersPerDataObject;amountWritersPerDataObject;amountExclusiveGateways;amountParallelGateways;amountTasks;amountElements;amountSumAddActors;averageAmountAddActors;privateSphereSize;averageSphereSum;pathsThroughProcess;amountMandConst;amountExclConst
randomProcessModel519_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel519_annotated1.bpmn;null;null;null;null;null;7;1;1;1;7;1;1;1;28;28;28;28;6.78E-04;0.006903124;0.007580825;0.001115605;0.00144779;0.002563395;0.001114262;0.001348169;0.002462431;0.001845269;0.001309012;0.003154281;42;7;7;7;6;1;3;1;73;81;9;3;8;0.857142857;8;1;0
randomProcessModel243_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel243_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;7;7;7;7;6.84E-05;2.30E-05;9.15E-05;1.57E-04;2.21E-05;1.79E-04;1.57E-04;2.09E-05;1.78E-04;1.94E-04;3.39E-05;2.28E-04;7;14;4;2.333333333;1.75;3.5;3;2;27;35;7;2.333333333;4;1.25;4;0;2
randomProcessModel712_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel712_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;0;0;0;0;3.36E-04;3.52E-04;6.88E-04;5.96E-04;2.99E-04;8.95E-04;5.82E-04;2.04E-04;7.86E-04;0.001050475;4.05E-04;0.001455633;7;41;6;3.5;1.166666667;6.833333333;2;2;71;77;2;1;2;1.5;4;0;0
randomProcessModel94_annotated950.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel94_annotated950.bpmn;null;null;null;null;null;24;1;1;1;2;1;1;1;4;4;4;4;3.78E-04;0.001816087;0.002194241;0.001409352;1.91E-04;0.001600552;0.001557728;1.92E-04;0.001749653;0.00202481;1.85E-04;0.002209617;8;46;4;4;2;11.5;2;0;79;85;3;1.5;5;2;3;0;0
randomProcessModel427_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel427_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;0;0;0;0;1.99E-05;2.36E-05;4.35E-05;4.38E-05;8.29E-06;5.21E-05;3.40E-05;8.18E-06;4.22E-05;1.33E-04;1.55E-05;1.49E-04;5;5;1;1;5;5;2;2;48;54;2;1;2;0;4;0;0
randomProcessModel237_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel237_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;12.5;12.5;12.5;12.5;3.72E-04;3.83E-04;7.55E-04;9.16E-04;2.94E-04;0.001210613;0.002328085;6.67E-04;0.002995248;0.00125501;3.30E-04;0.001584546;7;7;5;3.5;1.4;1.4;2;1;72;78;3;1.5;4;1.8;3;0;2
randomProcessModel957_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel957_annotated1.bpmn;null;null;null;null;null;1;1;1;1;1;1;1;1;0;0;0;0;2.30E-05;1.24E-05;3.55E-05;3.96E-05;1.35E-05;5.31E-05;8.91E-05;2.02E-05;1.09E-04;7.24E-05;1.28E-05;8.52E-05;5;5;2;1.666666667;2.5;2.5;3;2;56;64;3;1;2;0.5;4;0;0
randomProcessModel648_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel648_annotated1.bpmn;null;null;null;null;null;4;1;1;1;1;1;1;1;42;42;42;42;1.48E-04;1.42E-04;2.90E-04;4.86E-04;8.43E-05;5.70E-04;0.001258289;1.66E-04;0.001424478;7.97E-04;6.88E-05;8.66E-04;12;25;8;6;1.5;3.125;2;1;43;49;7;3.5;9;1.75;3;0;5
randomProcessModel828_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel828_annotated1.bpmn;null;null;null;null;null;12;1;1;1;2;1;1;1;1.5;2;1.5;1.5;6.99E-05;3.71E-04;4.41E-04;3.15E-04;8.65E-05;4.02E-04;2.76E-04;7.37E-05;3.50E-04;0.001069876;1.60E-04;0.001229742;19;4;4;4;4.75;1;2;1;34;40;3;1.5;5;1;3;0;2
randomProcessModel120_annotated1.bpmn;/home/necmic/Onedrive/Desktop/EvaluationSetup/Test6-RealWorldProcesses/AnnotatedModels/randomProcessModel120_annotated1.bpmn;null;null;null;null;null;5;1;1;1;3;1;1;1;26.5;26.5;26.5;26.5;3.08E-04;7.99E-04;0.001106967;0.001335482;2.44E-04;0.001579827;9.67E-04;2.41E-04;0.001207311;0.001470728;2.26E-04;0.001696631;14;29;8;7;1.75;3.625;2;2;50;56;5;2.5;6;1.5;3;0;4
